timestamp,last_offset_s,rms_offset_s,frequency_ppm,system_time_s
2026-07-05T14:46:23.339,+0.001089584,0.001772863,-6.055,+0.001193409
2026-07-05T14:46:24.356,+0.001089584,0.001772863,-6.055,+0.001186599
2026-07-05T14:46:25.376,+0.001089584,0.001772863,-6.055,+0.001179764
2026-07-05T14:46:26.393,+0.001089584,0.001772863,-6.055,+0.001172931
2026-07-05T14:46:27.412,+0.001089584,0.001772863,-6.055,+0.001166128
2026-07-05T14:46:28.423,+0.001089584,0.001772863,-6.055,+0.001159340
2026-07-05T14:46:29.437,+0.001089584,0.001772863,-6.055,+0.001152568
2026-07-05T14:46:30.450,+0.001089584,0.001772863,-6.055,+0.001145751
2026-07-05T14:46:31.461,+0.001089584,0.001772863,-6.055,+0.001138981
2026-07-05T14:46:32.478,+0.001089584,0.001772863,-6.055,+0.001132163
2026-07-05T14:46:33.488,+0.001089584,0.001772863,-6.055,+0.001125383
2026-07-05T14:46:34.510,+0.001089584,0.001772863,-6.055,+0.001118518
2026-07-05T14:46:35.529,+0.001089584,0.001772863,-6.055,+0.001111689
2026-07-05T14:46:36.553,+0.001089584,0.001772863,-6.055,+0.001104850
2026-07-05T14:46:37.564,+0.001089584,0.001772863,-6.055,+0.001098062
2026-07-05T14:46:38.581,+0.001089584,0.001772863,-6.055,+0.001091250
2026-07-05T14:46:39.598,+0.001089584,0.001772863,-6.055,+0.001084415
2026-07-05T14:46:40.621,+0.001089584,0.001772863,-6.055,+0.001077575
2026-07-05T14:46:41.636,+0.001089584,0.001772863,-6.055,+0.001070766
2026-07-05T14:46:42.651,+0.001089584,0.001772863,-6.055,+0.001063954
2026-07-05T14:46:43.673,+0.001089584,0.001772863,-6.055,+0.001057118
2026-07-05T14:46:44.692,+0.001089584,0.001772863,-6.055,+0.001050281
2026-07-05T14:46:45.710,+0.001089584,0.001772863,-6.055,+0.001043450
2026-07-05T14:46:46.730,+0.001089584,0.001772863,-6.055,+0.001036608
2026-07-05T14:46:47.752,+0.001089584,0.001772863,-6.055,+0.001029769
2026-07-05T14:46:48.770,+0.001089584,0.001772863,-6.055,+0.001022930
2026-07-05T14:46:49.789,+0.001089584,0.001772863,-6.055,+0.001016136
2026-07-05T14:46:50.803,+0.001089584,0.001772863,-6.055,+0.001009310
2026-07-05T14:46:51.824,+0.001089584,0.001772863,-6.055,+0.001002473
2026-07-05T14:46:52.845,+0.001089584,0.001772863,-6.055,+0.000995622
2026-07-05T14:46:53.870,+0.001089584,0.001772863,-6.055,+0.000988753
2026-07-05T14:46:54.891,+0.001089584,0.001772863,-6.055,+0.000981906
2026-07-05T14:46:55.910,+0.001089584,0.001772863,-6.055,+0.000975071
2026-07-05T14:46:56.931,+0.001089584,0.001772863,-6.055,+0.000968232
2026-07-05T14:46:57.946,+0.001089584,0.001772863,-6.055,+0.000961422
2026-07-05T14:46:58.973,+0.001089584,0.001772863,-6.055,+0.000954559
2026-07-05T14:46:59.996,+0.001089584,0.001772863,-6.055,+0.000947693
2026-07-05T14:47:01.010,+0.001089584,0.001772863,-6.055,+0.000940904
2026-07-05T14:47:02.023,+0.001089584,0.001772863,-6.055,+0.000934099
2026-07-05T14:47:03.037,+0.001089584,0.001772863,-6.055,+0.000927325
2026-07-05T14:47:04.055,+0.001089584,0.001772863,-6.055,+0.000920476
2026-07-05T14:47:05.077,+0.001089584,0.001772863,-6.055,+0.000913658
2026-07-05T14:47:06.084,+0.001089584,0.001772863,-6.055,+0.000906836
2026-07-05T14:47:07.101,+0.001089584,0.001772863,-6.055,+0.000900100
2026-07-05T14:47:08.116,+0.001089584,0.001772863,-6.055,+0.000893261
2026-07-05T14:47:09.129,+0.001089584,0.001772863,-6.055,+0.000886500
2026-07-05T14:47:10.131,+0.001089584,0.001772863,-6.055,+0.000879776
2026-07-05T14:47:11.134,+0.001089584,0.001772863,-6.055,+0.000873058
2026-07-05T14:47:12.139,+0.001089584,0.001772863,-6.055,+0.000866297
2026-07-05T14:47:13.146,+0.001089584,0.001772863,-6.055,+0.000859568
2026-07-05T14:47:14.153,+0.001089584,0.001772863,-6.055,+0.000852791
2026-07-05T14:47:15.166,+0.001089584,0.001772863,-6.055,+0.000846028
2026-07-05T14:47:16.181,+0.001089584,0.001772863,-6.055,+0.000839211
2026-07-05T14:47:17.199,+0.001089584,0.001772863,-6.055,+0.000832401
2026-07-05T14:47:18.209,+0.001089584,0.001772863,-6.055,+0.000825614
2026-07-05T14:47:19.229,+0.001089584,0.001772863,-6.055,+0.000818786
2026-07-05T14:47:20.244,+0.001089584,0.001772863,-6.055,+0.000811969
2026-07-05T14:47:21.261,+0.001089584,0.001772863,-6.055,+0.000805172
2026-07-05T14:47:22.275,+0.001089584,0.001772863,-6.055,+0.000798345
